time	V(ausgang)*I(I1)	V(n004)*I(V2)
1.699522988051760e-002	1.224306e+001	-6.377190e+000
1.699527467047990e-002	1.224301e+001	-6.377144e+000
1.699530307199904e-002	1.224298e+001	-6.377116e+000
1.699533215282356e-002	1.224295e+001	-6.377087e+000
1.699535476577341e-002	1.224293e+001	-6.377064e+000
1.699537755912228e-002	1.224291e+001	-6.377041e+000
1.699540687636059e-002	1.224288e+001	-6.377011e+000
1.699546301484411e-002	1.224282e+001	-6.376954e+000
1.699549165671732e-002	1.224279e+001	-6.376926e+000
1.699552354146905e-002	1.224276e+001	-6.376893e+000
1.699555089886851e-002	1.224273e+001	-6.376865e+000
1.699557808387708e-002	1.224271e+001	-6.376838e+000
1.699561201275857e-002	1.224267e+001	-6.376803e+000
1.699565381788770e-002	1.224263e+001	-6.376761e+000
1.699568822606878e-002	1.224260e+001	-6.376727e+000
1.699572743528344e-002	1.224256e+001	-6.376687e+000
1.699576768927869e-002	1.224252e+001	-6.376646e+000
1.699580482973451e-002	1.224248e+001	-6.376608e+000
1.699587817513759e-002	1.224241e+001	-6.376534e+000
1.699592230218316e-002	1.224236e+001	-6.376489e+000
1.699596725381758e-002	1.224232e+001	-6.376443e+000
1.699600641291699e-002	1.224228e+001	-6.376404e+000
1.699609528661072e-002	1.224219e+001	-6.376314e+000
1.699620667121460e-002	1.224208e+001	-6.376201e+000
1.699632238660831e-002	1.224196e+001	-6.376084e+000
1.699644813184231e-002	1.224184e+001	-6.375956e+000
1.699659235879714e-002	1.224169e+001	-6.375810e+000
1.699674531322903e-002	1.224154e+001	-6.375654e+000
1.699690642238894e-002	1.224138e+001	-6.375491e+000
1.700084732683054e-002	1.223744e+001	-6.371481e+000
1.700478823127214e-002	1.223350e+001	-6.367446e+000
1.700872913571375e-002	1.222956e+001	-6.363388e+000
1.701267004015536e-002	1.222562e+001	-6.359306e+000
1.701661094459696e-002	1.222167e+001	-6.355200e+000
1.702055184903856e-002	1.221773e+001	-6.351071e+000
1.702449275348017e-002	1.221379e+001	-6.346917e+000
1.702873321090435e-002	1.220955e+001	-6.342423e+000
